dataset,model,forget_size,method,acc_mean,acc_std,fid_mean,fid_std,mia_mean,mia_std,n,d_acc,d_fid,d_acc_label,d_fid_label
Heart Disease,LR,10,Weighting,0.8424908423333334,0.033657517000451866,4.903333333333333e-16,2.9050489709830236e-16,0.1,0.09258200997725514,15,0.0,2.3870029628070593,0.00 (Neg.),2.39 (Large)
Heart Disease,MLP,5,Exact,0.8120466666666667,0.03212933387479575,0.0006638000000000001,0.0003881728628183215,0.20666666666666667,0.10327955589886444,15,,,---,---
Heart Disease,MLP,5,SISA,0.80002,0.03406420827957529,0.08626586666666666,0.02319666629024422,0.20666666666666667,0.12798809468443686,15,-0.36322371091994576,5.218105728675329,-0.36 (Small),5.22 (Large)
Heart Disease,MLP,5,Weighting,0.8087666666666667,0.04188846869394737,0.0332842,0.0186808332301166,0.19333333333333333,0.1279880946844369,15,-0.08786687791934954,2.4689613878384074,-0.09 (Neg.),2.47 (Large)
Heart Disease,MLP,10,Exact,0.8207933333333333,0.038941264684625936,0.000871,0.000457640688750465,0.08000000000000002,0.09411239481143203,15,,,---,---
Heart Disease,MLP,10,SISA,0.8022066666666666,0.030027593659039356,0.08605193333333334,0.017489339154658383,0.08666666666666667,0.08338093878327921,15,-0.5345413578731166,6.885498086196492,-0.53 (Med.),6.89 (Large)
Heart Disease,MLP,10,Weighting,0.8131400000000001,0.030868865498149673,0.0363686,0.01565170061869134,0.1,0.09258200997725516,15,-0.21781004832366857,3.2060249099205977,-0.22 (Small),3.21 (Large)
Heart Disease,RF,5,Exact,0.802197802,0.0359699819430017,0.0,0.0,0.22616352206666665,0.1218487058326121,15,,,---,---
Heart Disease,RF,5,SISA,0.8139194137333334,0.027696626571216153,0.06734941146666666,0.013255000670609744,0.16666666666666666,0.09839121057939154,15,0.3651483716701133,7.1856994564470735,0.37 (Small),7.19 (Large)
Heart Disease,RF,5,Weighting,0.8175824174,0.04231635626747816,0.027785816133333332,0.008445011472347073,0.21628930813333333,0.1128146070719693,15,0.3917493605881868,4.653052058725516,0.39 (Small),4.65 (Large)
Heart Disease,RF,10,Exact,0.8087912086000001,0.030464967975849855,0.0,0.0,0.17471698119999998,0.12325020008554338,15,,,---,---
Heart Disease,RF,10,SISA,0.8175824174,0.022289782564580335,0.07384791693333333,0.015485308530055406,0.1425157232,0.11183038506987643,15,0.3293547878370456,6.744245713762867,0.33 (Small),6.74 (Large)
Heart Disease,RF,10,Weighting,0.8146520144666667,0.0356971742160287,0.02610210953333333,0.005411694336216364,0.20867924546666666,0.12450440838902808,15,0.17661353619196574,6.821146024739599,0.18 (Neg.),6.82 (Large)
