dataset,model,seed,forget_size,method,accuracy,fid,mia
Heart Disease,LR,112,5,Weighting,0.824175824,5.20E-16,0.1
Heart Disease,LR,112,10,Exact,0.813186813,0,0
Heart Disease,LR,112,10,SISA,0.824175824,0.22460367,0
Heart Disease,LR,112,10,Weighting,0.813186813,2.39E-16,0
Heart Disease,LR,113,5,Exact,0.846153846,0,0.1
Heart Disease,LR,113,5,SISA,0.846153846,0.35073565,0.1
Heart Disease,LR,113,5,Weighting,0.846153846,3.96E-16,0.1
Heart Disease,LR,113,10,Exact,0.857142857,0,0.1
Heart Disease,LR,113,10,SISA,0.835164835,0.508725376,0.1
Heart Disease,LR,113,10,Weighting,0.857142857,7.21E-16,0.1
Heart Disease,LR,114,5,Exact,0.868131868,0,0.3
Heart Disease,LR,114,5,SISA,0.835164835,0.41820641,0.3
Heart Disease,LR,114,5,Weighting,0.868131868,1.62E-15,0.3
Heart Disease,LR,114,10,Exact,0.868131868,0,0.3
Heart Disease,LR,114,10,SISA,0.835164835,0.406990798,0.3
Heart Disease,LR,114,10,Weighting,0.868131868,6.04E-16,0.3
Heart Disease,RF,100,5,Exact,0.802197802,0,0.3
Heart Disease,RF,100,5,SISA,0.824175824,0.085350909,0.104716981
Heart Disease,RF,100,5,Weighting,0.791208791,0.032630379,0.333018868
Heart Disease,RF,100,10,Exact,0.802197802,0,0.304716981
Heart Disease,RF,100,10,SISA,0.824175824,0.08622334,0.104716981
Heart Disease,RF,100,10,Weighting,0.769230769,0.031115781,0.223584906
Heart Disease,RF,101,5,Exact,0.846153846,0,0.137735849
Heart Disease,RF,101,5,SISA,0.813186813,0.067198928,0.3
Heart Disease,RF,101,5,Weighting,0.879120879,0.019417368,0.104716981
Heart Disease,RF,101,10,Exact,0.802197802,0,0
Heart Disease,RF,101,10,SISA,0.813186813,0.075638928,0.1
Heart Disease,RF,101,10,Weighting,0.879120879,0.029233888,0.190566038
Heart Disease,RF,102,5,Exact,0.835164835,0,0.128301887
Heart Disease,RF,102,5,SISA,0.846153846,0.060741983,0.1
Heart Disease,RF,102,5,Weighting,0.835164835,0.030690645,0.133018868
Heart Disease,RF,102,10,Exact,0.824175824,0,0.34245283
Heart Disease,RF,102,10,SISA,0.835164835,0.072605705,0.2
Heart Disease,RF,102,10,Weighting,0.824175824,0.027902871,0.433018868
Heart Disease,RF,103,5,Exact,0.736263736,0,0.133018868
Heart Disease,RF,103,5,SISA,0.791208791,0.098946708,0.104716981
Heart Disease,RF,103,5,Weighting,0.736263736,0.020012636,0.114150943
Heart Disease,RF,103,10,Exact,0.747252747,0,0.023584906
Heart Disease,RF,103,10,SISA,0.791208791,0.107820481,0.004716981
Heart Disease,RF,103,10,Weighting,0.758241758,0.023251477,0.133018868
Heart Disease,RF,104,5,Exact,0.78021978,0,0.151886792
Heart Disease,RF,104,5,SISA,0.78021978,0.07099511,0.295283019
Heart Disease,RF,104,5,Weighting,0.802197802,0.031134737,0.3
Heart Disease,RF,104,10,Exact,0.824175824,0,0.137735849
Heart Disease,RF,104,10,SISA,0.758241758,0.079170173,0.095283019
Heart Disease,RF,104,10,Weighting,0.802197802,0.026816906,0.128301887
Heart Disease,RF,105,5,Exact,0.769230769,0,0.151886792
Heart Disease,RF,105,5,SISA,0.868131868,0.070565241,0.090566038
Heart Disease,RF,105,5,Weighting,0.813186813,0.035772423,0.104716981
Heart Disease,RF,105,10,Exact,0.824175824,0,0.014150943
Heart Disease,RF,105,10,SISA,0.835164835,0.091815662,0.1
Heart Disease,RF,105,10,Weighting,0.813186813,0.039391701,0.018867925
Heart Disease,RF,106,5,Exact,0.769230769,0,0.318867925
Heart Disease,RF,106,5,SISA,0.769230769,0.043344149,0.1
Heart Disease,RF,106,5,Weighting,0.78021978,0.038888326,0.1
Heart Disease,RF,106,10,Exact,0.747252747,0,0.133018868
Heart Disease,RF,106,10,SISA,0.813186813,0.055867515,0.1
Heart Disease,RF,106,10,Weighting,0.791208791,0.014879472,0.028301887
Heart Disease,RF,107,5,Exact,0.846153846,0,0.3
Heart Disease,RF,107,5,SISA,0.835164835,0.072304887,0.1
Heart Disease,RF,107,5,Weighting,0.846153846,0.036755789,0.347169811
Heart Disease,RF,107,10,Exact,0.824175824,0,0.109433962
Heart Disease,RF,107,10,SISA,0.824175824,0.070462407,0
Heart Disease,RF,107,10,Weighting,0.846153846,0.024436669,0.147169811
Heart Disease,RF,108,5,Exact,0.769230769,0,0.304716981
Heart Disease,RF,108,5,SISA,0.813186813,0.07809349,0.104716981
Heart Disease,RF,108,5,Weighting,0.791208791,0.014867332,0.34245283
Heart Disease,RF,108,10,Exact,0.791208791,0,0.137735849
Heart Disease,RF,108,10,SISA,0.824175824,0.081696171,0.109433962
Heart Disease,RF,108,10,Weighting,0.802197802,0.02601097,0.223584906
Heart Disease,RF,109,5,Exact,0.846153846,0,0.323584906
Heart Disease,RF,109,5,SISA,0.802197802,0.053921262,0.3
Heart Disease,RF,109,5,Weighting,0.857142857,0.019263231,0.328301887
Heart Disease,RF,109,10,Exact,0.824175824,0,0.223584906
Heart Disease,RF,109,10,SISA,0.813186813,0.068610221,0.204716981
Heart Disease,RF,109,10,Weighting,0.813186813,0.029119615,0.223584906
Heart Disease,RF,110,5,Exact,0.846153846,0,0.085849057
Heart Disease,RF,110,5,SISA,0.846153846,0.05925071,0.095283019
Heart Disease,RF,110,5,Weighting,0.89010989,0.02476424,0.1
Heart Disease,RF,110,10,Exact,0.846153846,0,0.085849057
Heart Disease,RF,110,10,SISA,0.846153846,0.050442072,0.2
Heart Disease,RF,110,10,Weighting,0.879120879,0.024553724,0.095283019
Heart Disease,RF,111,5,Exact,0.78021978,0,0.118867925
Heart Disease,RF,111,5,SISA,0.78021978,0.063406089,0.095283019
Heart Disease,RF,111,5,Weighting,0.78021978,0.022471223,0.147169811
Heart Disease,RF,111,10,Exact,0.802197802,0,0.218867925
Heart Disease,RF,111,10,SISA,0.802197802,0.070597754,0.009433962
Heart Disease,RF,111,10,Weighting,0.78021978,0.02265096,0.233018868
Heart Disease,RF,112,5,Exact,0.791208791,0,0.518867925
Heart Disease,RF,112,5,SISA,0.802197802,0.060039261,0.309433962
Heart Disease,RF,112,5,Weighting,0.791208791,0.034007926,0.333018868
Heart Disease,RF,112,10,Exact,0.802197802,0,0.251886792
Heart Disease,RF,112,10,SISA,0.813186813,0.0589352,0.204716981
Heart Disease,RF,112,10,Weighting,0.802197802,0.027666482,0.328301887
Heart Disease,RF,113,5,Exact,0.791208791,0,0.114150943
Heart Disease,RF,113,5,SISA,0.824175824,0.06396758,0.1
Heart Disease,RF,113,5,Weighting,0.857142857,0.017064359,0.118867925
Heart Disease,RF,113,10,Exact,0.857142857,0,0.218867925
Heart Disease,RF,113,10,SISA,0.846153846,0.083761019,0.3
Heart Disease,RF,113,10,Weighting,0.846153846,0.02117511,0.304716981
Heart Disease,RF,114,5,Exact,0.824175824,0,0.304716981
Heart Disease,RF,114,5,SISA,0.813186813,0.062114865,0.3
Heart Disease,RF,114,5,Weighting,0.813186813,0.039046628,0.337735849
Heart Disease,RF,114,10,Exact,0.813186813,0,0.418867925
Heart Disease,RF,114,10,SISA,0.824175824,0.054072106,0.404716981
Heart Disease,RF,114,10,Weighting,0.813186813,0.023326017,0.418867925
