dataset,model,seed,forget_size,method,accuracy,fid,mia
german,GB,108,10,SISA,0.755,0.30633,0.0
german,GB,108,10,Weighting,0.765,0.002403,0.1
german,GB,109,5,Exact,0.74,0.0,0.1
german,GB,109,5,SISA,0.75,0.272013,0.1
german,GB,109,5,Weighting,0.74,0.000182,0.1
german,GB,109,10,Exact,0.755,0.0,0.0
german,GB,109,10,SISA,0.745,0.269772,0.1
german,GB,109,10,Weighting,0.755,0.0,0.0
german,GB,110,5,Exact,0.74,0.0,0.1
german,GB,110,5,SISA,0.725,0.249014,0.1
german,GB,110,5,Weighting,0.74,0.000197,0.1
german,GB,110,10,Exact,0.74,0.0,0.1
german,GB,110,10,SISA,0.715,0.251871,0.0
german,GB,110,10,Weighting,0.74,0.003289,0.1
german,GB,111,5,Exact,0.77,0.0,0.1
german,GB,111,5,SISA,0.785,0.295338,0.1
german,GB,111,5,Weighting,0.77,0.0,0.1
german,GB,111,10,Exact,0.785,0.0,0.1
german,GB,111,10,SISA,0.765,0.304193,0.1
german,GB,111,10,Weighting,0.785,0.000545,0.1
german,GB,112,5,Exact,0.73,0.0,0.3
german,GB,112,5,SISA,0.765,0.322342,0.5
german,GB,112,5,Weighting,0.73,0.003031,0.3
german,GB,112,10,Exact,0.755,0.0,0.1
german,GB,112,10,SISA,0.78,0.299153,0.2
german,GB,112,10,Weighting,0.755,0.0,0.1
german,GB,113,5,Exact,0.71,0.0,0.5
german,GB,113,5,SISA,0.715,0.257703,0.1
german,GB,113,5,Weighting,0.705,0.002243,0.3
german,GB,113,10,Exact,0.72,0.0,0.2
german,GB,113,10,SISA,0.705,0.255915,0.0
german,GB,113,10,Weighting,0.72,0.002801,0.2
german,GB,114,5,Exact,0.705,0.0,0.1
german,GB,114,5,SISA,0.745,0.286142,0.1
german,GB,114,5,Weighting,0.705,0.0,0.1
german,GB,114,10,Exact,0.71,0.0,0.1
german,GB,114,10,SISA,0.745,0.296161,0.2
german,GB,114,10,Weighting,0.71,0.0,0.1
german,MLP,100,5,Exact,0.705,0.000393,0.1
german,MLP,100,5,SISA,0.7,0.121328,0.3
german,MLP,100,5,Weighting,0.725,0.05365,0.1
german,MLP,100,10,Exact,0.725,0.000601,0.2
german,MLP,100,10,SISA,0.7,0.174489,0.2
german,MLP,100,10,Weighting,0.73,0.037012,0.2
german,MLP,101,5,Exact,0.51,0.000322,0.1
german,MLP,101,5,SISA,0.7,0.241454,0.1
german,MLP,101,5,Weighting,0.73,0.069831,0.1
german,MLP,101,10,Exact,0.705,0.000306,0.1
german,MLP,101,10,SISA,0.7,0.120001,0.0
german,MLP,101,10,Weighting,0.75,0.146634,0.1
german,MLP,102,5,Exact,0.72,0.000335,0.1
german,MLP,102,5,SISA,0.7,0.115328,0.1
german,MLP,102,5,Weighting,0.75,0.062296,0.1
german,MLP,102,10,Exact,0.7,0.000199,0.0
german,MLP,102,10,SISA,0.7,0.039786,0.0
german,MLP,102,10,Weighting,0.72,0.089465,0.1
german,MLP,103,5,Exact,0.59,0.000429,0.5
german,MLP,103,5,SISA,0.7,0.235998,0.1
german,MLP,103,5,Weighting,0.7,0.060972,0.1
german,MLP,103,10,Exact,0.63,0.000617,0.3
german,MLP,103,10,SISA,0.7,0.190152,0.1
german,MLP,103,10,Weighting,0.72,0.047396,0.1
german,MLP,104,5,Exact,0.69,0.00056,0.1
german,MLP,104,5,SISA,0.7,0.056335,0.3
german,MLP,104,5,Weighting,0.49,0.089473,0.3
german,MLP,104,10,Exact,0.72,0.00048,0.2
german,MLP,104,10,SISA,0.7,0.162327,0.2
german,MLP,104,10,Weighting,0.715,0.01049,0.2
german,MLP,105,5,Exact,0.635,0.000437,0.1
german,MLP,105,5,SISA,0.7,0.20199,0.1
german,MLP,105,5,Weighting,0.455,0.153335,0.1
german,MLP,105,10,Exact,0.715,0.000344,0.2
german,MLP,105,10,SISA,0.7,0.136728,0.2
german,MLP,105,10,Weighting,0.665,0.07296,0.3
german,MLP,106,5,Exact,0.615,0.000523,0.1
german,MLP,106,5,SISA,0.7,0.21335,0.3
german,MLP,106,5,Weighting,0.72,0.130911,0.1
german,MLP,106,10,Exact,0.665,0.000418,0.1
german,MLP,106,10,SISA,0.7,0.196669,0.1
german,MLP,106,10,Weighting,0.705,0.160726,0.0
german,MLP,107,5,Exact,0.48,0.000785,0.1
german,MLP,107,5,SISA,0.7,0.150463,0.1
german,MLP,107,5,Weighting,0.715,0.0689,0.1
german,MLP,107,10,Exact,0.705,0.000465,0.2
german,MLP,107,10,SISA,0.7,0.160221,0.0
german,MLP,107,10,Weighting,0.665,0.033174,0.2
german,MLP,108,5,Exact,0.68,0.000675,0.1
german,MLP,108,5,SISA,0.7,0.159555,0.1
german,MLP,108,5,Weighting,0.71,0.114723,0.1
german,MLP,108,10,Exact,0.625,0.000494,0.1
german,MLP,108,10,SISA,0.7,0.158373,0.1
german,MLP,108,10,Weighting,0.7,0.153742,0.1
german,MLP,109,5,Exact,0.645,0.000367,0.1
german,MLP,109,5,SISA,0.705,0.174838,0.1
german,MLP,109,5,Weighting,0.705,0.156448,0.1
german,MLP,109,10,Exact,0.715,0.000357,0.1
german,MLP,109,10,SISA,0.705,0.103082,0.1
german,MLP,109,10,Weighting,0.435,0.095098,0.2
german,MLP,110,5,Exact,0.7,0.000288,0.3
german,MLP,110,5,SISA,0.7,0.041065,0.1
german,MLP,110,5,Weighting,0.715,0.022206,0.3
german,MLP,110,10,Exact,0.73,0.000609,0.1
german,MLP,110,10,SISA,0.7,0.121857,0.1
german,MLP,110,10,Weighting,0.705,0.084612,0.1
german,MLP,111,5,Exact,0.725,0.000332,0.1
german,MLP,111,5,SISA,0.7,0.182615,0.3
german,MLP,111,5,Weighting,0.705,0.152049,0.3
german,MLP,111,10,Exact,0.705,0.000733,0.1
german,MLP,111,10,SISA,0.7,0.167364,0.1
german,MLP,111,10,Weighting,0.705,0.153377,0.2
german,MLP,112,5,Exact,0.58,0.000421,0.3
german,MLP,112,5,SISA,0.7,0.184896,0.3
german,MLP,112,5,Weighting,0.625,0.073037,0.3
german,MLP,112,10,Exact,0.44,0.000485,0.2
german,MLP,112,10,SISA,0.7,0.156549,0.3
german,MLP,112,10,Weighting,0.565,0.054572,0.3
german,MLP,113,5,Exact,0.7,0.000233,0.1
german,MLP,113,5,SISA,0.7,0.025553,0.1
german,MLP,113,5,Weighting,0.6,0.19567,0.1
german,MLP,113,10,Exact,0.545,0.000662,0.3
german,MLP,113,10,SISA,0.7,0.201365,0.4
german,MLP,113,10,Weighting,0.695,0.120535,0.0
german,MLP,114,5,Exact,0.715,0.00028,0.1
german,MLP,114,5,SISA,0.7,0.087013,0.1
german,MLP,114,5,Weighting,0.44,0.079555,0.1
german,MLP,114,10,Exact,0.71,0.000375,0.2
german,MLP,114,10,SISA,0.7,0.053278,0.2
german,MLP,114,10,Weighting,0.575,0.116437,0.2
adult,GB,100,5,Exact,0.8496,0.0,0.3
adult,GB,100,5,SISA,0.8494,0.032916,0.3
adult,GB,100,5,Weighting,0.8496,3.6e-05,0.3
adult,GB,100,10,Exact,0.8492,0.0,0.3981
adult,GB,100,10,SISA,0.8498,0.034694,0.4
adult,GB,100,10,Weighting,0.8492,0.0,0.3981
adult,GB,101,5,Exact,0.8593,0.0,0.0991
adult,GB,101,5,SISA,0.8583,0.0375,0.1
adult,GB,101,5,Weighting,0.8593,0.000205,0.0991
adult,GB,101,10,Exact,0.8587,0.0,0.1
adult,GB,101,10,SISA,0.8584,0.03089,0.1
adult,GB,101,10,Weighting,0.8587,0.0,0.1
adult,GB,102,5,Exact,0.8574,0.0,0.3
adult,GB,102,5,SISA,0.8585,0.035322,0.3
adult,GB,102,5,Weighting,0.8574,0.0,0.3
adult,GB,102,10,Exact,0.8573,0.0,0.3
adult,GB,102,10,SISA,0.8583,0.031168,0.2999
adult,GB,102,10,Weighting,0.8573,9.8e-05,0.3
adult,GB,103,5,Exact,0.857,0.0,0.1
adult,GB,103,5,SISA,0.8562,0.023684,0.1
adult,GB,103,5,Weighting,0.857,0.0,0.1
adult,GB,103,10,Exact,0.857,0.0,0.1
adult,GB,103,10,SISA,0.8559,0.02878,0.1
adult,GB,103,10,Weighting,0.857,0.0,0.1
adult,GB,104,5,Exact,0.8573,0.0,0.1005
adult,GB,104,5,SISA,0.8572,0.029659,0.1
adult,GB,104,5,Weighting,0.8573,0.0,0.1005
adult,GB,104,10,Exact,0.8566,0.0,0.1
adult,GB,104,10,SISA,0.8563,0.0277,0.1002
adult,GB,104,10,Weighting,0.8566,0.0,0.1
adult,GB,105,5,Exact,0.8579,0.0,0.1
adult,GB,105,5,SISA,0.8555,0.028832,0.0999
adult,GB,105,5,Weighting,0.8579,0.000129,0.1
adult,GB,105,10,Exact,0.8586,0.0,0.2997
adult,GB,105,10,SISA,0.8559,0.028552,0.3
adult,GB,105,10,Weighting,0.8586,0.0,0.2997
adult,GB,106,5,Exact,0.8587,0.0,0.3
adult,GB,106,5,SISA,0.8585,0.030039,0.3
adult,GB,106,5,Weighting,0.8587,0.000164,0.3
adult,GB,106,10,Exact,0.8594,0.0,0.3
adult,GB,106,10,SISA,0.8585,0.038178,0.3
adult,GB,106,10,Weighting,0.8594,0.00041,0.3
adult,GB,107,5,Exact,0.853,0.0,0.2987
adult,GB,107,5,SISA,0.8524,0.02791,0.2999
adult,GB,107,5,Weighting,0.853,0.0,0.2987
adult,GB,107,10,Exact,0.8544,0.0,0.1985
adult,GB,107,10,SISA,0.8525,0.02982,0.2
adult,GB,107,10,Weighting,0.8544,0.0,0.1985
adult,GB,108,5,Exact,0.8533,0.0,0.1
adult,GB,108,5,SISA,0.8514,0.033613,0.3001
adult,GB,108,5,Weighting,0.8533,0.0,0.1
adult,GB,108,10,Exact,0.8524,0.0,0.4005
adult,GB,108,10,SISA,0.8513,0.036304,0.4
adult,GB,108,10,Weighting,0.8524,8.7e-05,0.4005
adult,GB,109,5,Exact,0.8554,0.0,0.1
adult,GB,109,5,SISA,0.8555,0.030007,0.1
adult,GB,109,5,Weighting,0.8554,1.5e-05,0.1
adult,GB,109,10,Exact,0.8555,0.0,0.1
adult,GB,109,10,SISA,0.8558,0.031097,0.1
adult,GB,109,10,Weighting,0.8555,0.0,0.1
adult,GB,110,5,Exact,0.8614,0.0,0.0999
adult,GB,110,5,SISA,0.8587,0.036099,0.1
adult,GB,110,5,Weighting,0.8614,0.0,0.0999
adult,GB,110,10,Exact,0.8608,0.0,0.3
adult,GB,110,10,SISA,0.8587,0.025579,0.3
adult,GB,110,10,Weighting,0.8608,0.001777,0.3
adult,GB,111,5,Exact,0.8597,0.0,0.0997
adult,GB,111,5,SISA,0.8605,0.027353,0.1
adult,GB,111,5,Weighting,0.8597,0.0,0.0997
adult,GB,111,10,Exact,0.8606,0.0,0.1
adult,GB,111,10,SISA,0.8604,0.023443,0.1001
adult,GB,111,10,Weighting,0.8606,0.000168,0.1
adult,GB,112,5,Exact,0.8543,0.0,0.1
adult,GB,112,5,SISA,0.8554,0.025931,0.0999
adult,GB,112,5,Weighting,0.8543,0.0,0.1
adult,GB,112,10,Exact,0.8555,0.0,0.1
adult,GB,112,10,SISA,0.8552,0.033691,0.0999
adult,GB,112,10,Weighting,0.8555,0.000145,0.1
adult,GB,113,5,Exact,0.8559,0.0,0.1019
adult,GB,113,5,SISA,0.8555,0.028642,0.1001
adult,GB,113,5,Weighting,0.8559,0.0,0.1019
adult,GB,113,10,Exact,0.8562,0.0,0.1
adult,GB,113,10,SISA,0.8556,0.031019,0.1
adult,GB,113,10,Weighting,0.8562,0.0,0.1
adult,GB,114,5,Exact,0.8591,0.0,0.0999
adult,GB,114,5,SISA,0.8564,0.035202,0.1
adult,GB,114,5,Weighting,0.8591,0.0,0.0999
adult,GB,114,10,Exact,0.8591,0.0,0.1
adult,GB,114,10,SISA,0.8567,0.032719,0.1
adult,GB,114,10,Weighting,0.8591,0.0,0.1
adult,MLP,100,5,Exact,0.7912,0.000207,0.1
adult,MLP,100,5,SISA,0.7847,0.16244,0.1
adult,MLP,100,5,Weighting,0.7854,0.062664,0.1
adult,MLP,100,10,Exact,0.7976,0.000471,0.2
adult,MLP,100,10,SISA,0.7847,0.058585,0.0
adult,MLP,100,10,Weighting,0.806,0.028265,0.3
adult,MLP,101,5,Exact,0.7758,0.0001,0.1
adult,MLP,101,5,SISA,0.7065,0.194327,0.1
adult,MLP,101,5,Weighting,0.8053,0.118142,0.1
adult,MLP,101,10,Exact,0.7908,0.000334,0.1
adult,MLP,101,10,SISA,0.2479,0.149046,0.1
adult,MLP,101,10,Weighting,0.8084,0.095164,0.1
adult,MLP,102,5,Exact,0.6073,0.000653,0.1
adult,MLP,102,5,SISA,0.7831,0.145661,0.1263
adult,MLP,102,5,Weighting,0.8165,0.186771,0.3
adult,MLP,102,10,Exact,0.6651,0.00093,0.2
adult,MLP,102,10,SISA,0.7841,0.13283,0.2687
adult,MLP,102,10,Weighting,0.795,0.144762,0.2
adult,MLP,103,5,Exact,0.8017,0.000223,0.1
adult,MLP,103,5,SISA,0.7832,0.185086,0.1455
adult,MLP,103,5,Weighting,0.8223,0.134493,0.1
adult,MLP,103,10,Exact,0.2966,0.000204,0.1
adult,MLP,103,10,SISA,0.7887,0.142293,0.2514
adult,MLP,103,10,Weighting,0.7657,0.028395,0.3
adult,MLP,104,5,Exact,0.333,0.000235,0.1
adult,MLP,104,5,SISA,0.7867,0.080909,0.1
adult,MLP,104,5,Weighting,0.7794,0.030153,0.1
adult,MLP,104,10,Exact,0.7648,0.0,0.1
adult,MLP,104,10,SISA,0.7867,0.197992,0.2
adult,MLP,104,10,Weighting,0.8038,0.261306,0.1
adult,MLP,105,5,Exact,0.7822,5.4e-05,0.3
adult,MLP,105,5,SISA,0.7582,0.196582,0.1
adult,MLP,105,5,Weighting,0.7943,0.026296,0.3
adult,MLP,105,10,Exact,0.8071,0.000582,0.4
adult,MLP,105,10,SISA,0.7582,0.162191,0.1
adult,MLP,105,10,Weighting,0.8084,0.260731,0.2
adult,MLP,106,5,Exact,0.7904,0.000168,0.3
adult,MLP,106,5,SISA,0.7483,0.112083,0.1
adult,MLP,106,5,Weighting,0.3661,0.133965,0.1
adult,MLP,106,10,Exact,0.793,0.000149,0.4
adult,MLP,106,10,SISA,0.7483,0.147425,0.2
adult,MLP,106,10,Weighting,0.7916,0.192942,0.4
adult,MLP,107,5,Exact,0.7867,0.000316,0.1
adult,MLP,107,5,SISA,0.7846,0.044122,0.1
adult,MLP,107,5,Weighting,0.8063,0.065122,0.1
adult,MLP,107,10,Exact,0.5357,0.000657,0.1
adult,MLP,107,10,SISA,0.7819,0.130685,0.1
adult,MLP,107,10,Weighting,0.2715,0.121161,0.0086
adult,MLP,108,5,Exact,0.797,0.000415,0.1
adult,MLP,108,5,SISA,0.7811,0.166412,0.1
adult,MLP,108,5,Weighting,0.7919,0.22151,0.3
adult,MLP,108,10,Exact,0.7818,7e-05,0.2
adult,MLP,108,10,SISA,0.7811,0.082942,0.1
adult,MLP,108,10,Weighting,0.7935,0.012438,0.1373
adult,MLP,109,5,Exact,0.8103,0.00042,0.1
adult,MLP,109,5,SISA,0.776,0.168244,0.0604
adult,MLP,109,5,Weighting,0.7823,0.144205,0.1
adult,MLP,109,10,Exact,0.7886,1e-05,0.1267
adult,MLP,109,10,SISA,0.7763,0.018947,0.0
adult,MLP,109,10,Weighting,0.8017,0.125816,0.0
adult,MLP,110,5,Exact,0.7868,3.8e-05,0.1
adult,MLP,110,5,SISA,0.7871,0.140613,0.1
adult,MLP,110,5,Weighting,0.7823,0.01878,0.1
adult,MLP,110,10,Exact,0.7803,0.0,0.0117
adult,MLP,110,10,SISA,0.7871,0.172589,0.1
adult,MLP,110,10,Weighting,0.7957,0.108352,0.1
adult,MLP,111,5,Exact,0.7925,0.000145,0.5
adult,MLP,111,5,SISA,0.7875,0.069165,0.1
adult,MLP,111,5,Weighting,0.7946,0.023241,0.3
adult,MLP,111,10,Exact,0.797,1.9e-05,0.0473
adult,MLP,111,10,SISA,0.7007,0.132364,0.1
adult,MLP,111,10,Weighting,0.7889,0.258792,0.2
adult,MLP,112,5,Exact,0.7811,7.7e-05,0.3
adult,MLP,112,5,SISA,0.783,0.079289,0.1
adult,MLP,112,5,Weighting,0.7835,0.377745,0.1
adult,MLP,112,10,Exact,0.4172,0.000427,0.0
adult,MLP,112,10,SISA,0.7813,0.174051,0.0
adult,MLP,112,10,Weighting,0.8108,0.162342,0.0
adult,MLP,113,5,Exact,0.8112,0.000426,0.3
adult,MLP,113,5,SISA,0.7823,0.133717,0.1
adult,MLP,113,5,Weighting,0.8017,0.123007,0.3
adult,MLP,113,10,Exact,0.8113,0.000624,0.2
adult,MLP,113,10,SISA,0.7856,0.175707,0.1
adult,MLP,113,10,Weighting,0.786,0.225658,0.1
adult,MLP,114,5,Exact,0.7834,8.9e-05,0.1
adult,MLP,114,5,SISA,0.2479,0.077545,0.1887
adult,MLP,114,5,Weighting,0.7627,0.061956,0.0182
adult,MLP,114,10,Exact,0.7954,0.000327,0.1
adult,MLP,114,10,SISA,0.7744,0.086895,0.1889
adult,MLP,114,10,Weighting,0.7811,0.08167,0.1
heart,GB,100,5,Exact,0.8197,0.0,0.1
heart,GB,100,5,SISA,0.8361,0.730225,0.1
heart,GB,100,5,Weighting,0.8197,0.000177,0.1
heart,GB,100,10,Exact,0.8197,0.0,0.0
heart,GB,100,10,SISA,0.8033,0.857685,0.1
heart,GB,100,10,Weighting,0.8197,0.004924,0.0
heart,GB,101,5,Exact,0.8361,0.0,0.1
heart,GB,101,5,SISA,0.8361,0.529315,0.1
heart,GB,101,5,Weighting,0.8361,0.000812,0.1
heart,GB,101,10,Exact,0.8525,0.0,0.0
heart,GB,101,10,SISA,0.8197,0.661434,0.1
heart,GB,101,10,Weighting,0.8525,0.006436,0.0
heart,GB,102,5,Exact,0.8033,0.0,0.1
heart,GB,102,5,SISA,0.8361,0.940676,0.1
heart,GB,102,5,Weighting,0.8033,0.005361,0.1
heart,GB,102,10,Exact,0.8197,0.0,0.2
heart,GB,102,10,SISA,0.7869,0.650309,0.2
heart,GB,102,10,Weighting,0.8197,0.000424,0.2
heart,GB,103,5,Exact,0.6721,0.0,0.1
heart,GB,103,5,SISA,0.6721,1.162603,0.1
heart,GB,103,5,Weighting,0.6721,0.003188,0.1
heart,GB,103,10,Exact,0.7049,0.0,0.1
heart,GB,103,10,SISA,0.6557,1.127585,0.0
heart,GB,103,10,Weighting,0.7049,0.000342,0.1
heart,GB,104,5,Exact,0.8361,0.0,0.5
heart,GB,104,5,SISA,0.8525,0.709461,0.3
heart,GB,104,5,Weighting,0.8361,0.002837,0.5
heart,GB,104,10,Exact,0.8361,0.0,0.3
heart,GB,104,10,SISA,0.8197,0.710318,0.2
heart,GB,104,10,Weighting,0.8361,0.0,0.3
heart,GB,105,5,Exact,0.8525,0.0,0.3
heart,GB,105,5,SISA,0.8525,0.684621,0.1
heart,GB,105,5,Weighting,0.8525,0.006582,0.3
heart,GB,105,10,Exact,0.8525,0.0,0.2
heart,GB,105,10,SISA,0.8852,0.771787,0.2
heart,GB,105,10,Weighting,0.8525,0.002242,0.2
heart,GB,106,5,Exact,0.7869,0.0,0.1
heart,GB,106,5,SISA,0.7541,0.990519,0.1
heart,GB,106,5,Weighting,0.7869,0.00149,0.1
heart,GB,106,10,Exact,0.7705,0.0,0.2
heart,GB,106,10,SISA,0.7541,1.051729,0.0
heart,GB,106,10,Weighting,0.7705,0.00168,0.2
heart,GB,107,5,Exact,0.8525,0.0,0.3
heart,GB,107,5,SISA,0.8525,0.810763,0.3
heart,GB,107,5,Weighting,0.8525,0.0,0.3
heart,GB,107,10,Exact,0.8197,0.0,0.1
heart,GB,107,10,SISA,0.8525,0.839828,0.0
heart,GB,107,10,Weighting,0.8197,0.001458,0.1
heart,GB,108,5,Exact,0.8361,0.0,0.1
heart,GB,108,5,SISA,0.7541,0.894665,0.1
heart,GB,108,5,Weighting,0.8361,0.003806,0.1
heart,GB,108,10,Exact,0.8197,0.0,0.1
heart,GB,108,10,SISA,0.7377,0.887679,0.2
heart,GB,108,10,Weighting,0.8197,0.000525,0.1
heart,GB,109,5,Exact,0.8197,0.0,0.1
heart,GB,109,5,SISA,0.8689,0.7276,0.1
heart,GB,109,5,Weighting,0.8197,0.000631,0.1
heart,GB,109,10,Exact,0.8033,0.0,0.1
heart,GB,109,10,SISA,0.8852,0.748441,0.0
heart,GB,109,10,Weighting,0.8033,0.004377,0.1
heart,GB,110,5,Exact,0.8689,0.0,0.1
heart,GB,110,5,SISA,0.8361,0.626787,0.1
heart,GB,110,5,Weighting,0.8689,0.015413,0.1
heart,GB,110,10,Exact,0.8525,0.0,0.0
heart,GB,110,10,SISA,0.8361,0.696661,0.0
heart,GB,110,10,Weighting,0.8525,0.006621,0.0
heart,GB,111,5,Exact,0.7869,0.0,0.3
heart,GB,111,5,SISA,0.8525,0.734533,0.3
heart,GB,111,5,Weighting,0.7869,0.001641,0.3
heart,GB,111,10,Exact,0.8197,0.0,0.1
heart,GB,111,10,SISA,0.8525,0.81671,0.1
heart,GB,111,10,Weighting,0.8197,0.003736,0.1
heart,GB,112,5,Exact,0.8197,0.0,0.1
heart,GB,112,5,SISA,0.8525,0.46511,0.1
heart,GB,112,5,Weighting,0.8197,0.0,0.1
heart,GB,112,10,Exact,0.8361,0.0,0.1
heart,GB,112,10,SISA,0.8197,0.50251,0.1
heart,GB,112,10,Weighting,0.8361,0.001056,0.1
heart,GB,113,5,Exact,0.7869,0.0,0.5
heart,GB,113,5,SISA,0.8197,0.665117,0.3
heart,GB,113,5,Weighting,0.7869,0.006108,0.5
heart,GB,113,10,Exact,0.7869,0.0,0.2
heart,GB,113,10,SISA,0.8361,0.626069,0.0
heart,GB,113,10,Weighting,0.7869,0.005995,0.2
heart,GB,114,5,Exact,0.8197,0.0,0.3
heart,GB,114,5,SISA,0.8033,0.636394,0.3
heart,GB,114,5,Weighting,0.8197,0.006522,0.3
heart,GB,114,10,Exact,0.8361,0.0,0.1
heart,GB,114,10,SISA,0.8033,0.679639,0.0
heart,GB,114,10,Weighting,0.8361,0.002249,0.1
heart,MLP,100,5,Exact,0.7705,0.000449,0.3
heart,MLP,100,5,SISA,0.7705,0.104958,0.1
heart,MLP,100,5,Weighting,0.7869,0.063766,0.3
heart,MLP,100,10,Exact,0.7869,0.000542,0.1
heart,MLP,100,10,SISA,0.8033,0.087955,0.0
heart,MLP,100,10,Weighting,0.8033,0.02903,0.2
heart,MLP,101,5,Exact,0.8197,0.000283,0.1
heart,MLP,101,5,SISA,0.8197,0.135585,0.3
heart,MLP,101,5,Weighting,0.7869,0.011952,0.1
heart,MLP,101,10,Exact,0.8033,0.000449,0.0
heart,MLP,101,10,SISA,0.8033,0.128781,0.2
heart,MLP,101,10,Weighting,0.7869,0.011129,0.1
heart,MLP,102,5,Exact,0.8033,0.000983,0.1
heart,MLP,102,5,SISA,0.7705,0.097427,0.1
heart,MLP,102,5,Weighting,0.8361,0.071837,0.1
heart,MLP,102,10,Exact,0.8033,0.00047,0.2
heart,MLP,102,10,SISA,0.7705,0.099992,0.2
heart,MLP,102,10,Weighting,0.8197,0.046088,0.2
heart,MLP,103,5,Exact,0.7705,0.000434,0.3
heart,MLP,103,5,SISA,0.7541,0.07517,0.1
heart,MLP,103,5,Weighting,0.7377,0.028535,0.3
heart,MLP,103,10,Exact,0.7705,0.001164,0.0
heart,MLP,103,10,SISA,0.7541,0.077183,0.1
heart,MLP,103,10,Weighting,0.7869,0.022485,0.1
heart,MLP,104,5,Exact,0.8361,0.000702,0.3
heart,MLP,104,5,SISA,0.8033,0.068157,0.3
heart,MLP,104,5,Weighting,0.8361,0.02835,0.3
heart,MLP,104,10,Exact,0.8361,0.000561,0.2
heart,MLP,104,10,SISA,0.8197,0.082396,0.2
heart,MLP,104,10,Weighting,0.8361,0.025718,0.2
heart,MLP,105,5,Exact,0.8197,0.000511,0.1
heart,MLP,105,5,SISA,0.8197,0.1072,0.1
heart,MLP,105,5,Weighting,0.8361,0.016811,0.1
heart,MLP,105,10,Exact,0.8361,0.0018,0.3
heart,MLP,105,10,SISA,0.8033,0.082791,0.0
heart,MLP,105,10,Weighting,0.8361,0.054594,0.3
heart,MLP,106,5,Exact,0.7869,0.001288,0.3
heart,MLP,106,5,SISA,0.8033,0.066739,0.3
heart,MLP,106,5,Weighting,0.7541,0.038699,0.3
heart,MLP,106,10,Exact,0.7541,0.000313,0.0
heart,MLP,106,10,SISA,0.8197,0.069614,0.1
heart,MLP,106,10,Weighting,0.8033,0.05773,0.0
heart,MLP,107,5,Exact,0.7869,0.000327,0.1
heart,MLP,107,5,SISA,0.8361,0.08562,0.1
heart,MLP,107,5,Weighting,0.7869,0.007966,0.1
heart,MLP,107,10,Exact,0.8689,0.000655,0.1
heart,MLP,107,10,SISA,0.8197,0.089065,0.1
heart,MLP,107,10,Weighting,0.7377,0.047319,0.1
heart,MLP,108,5,Exact,0.8525,0.000989,0.3
