dataset,model,seed,forget_size,method,accuracy,fid,mia
german,GB,100,5,Exact,0.76,0.0,0.1
german,GB,100,5,SISA,0.775,0.271808,0.1
german,GB,100,5,Weighting,0.76,0.0,0.1
german,GB,100,10,Exact,0.78,0.0,0.2
german,GB,100,10,SISA,0.775,0.286987,0.1
german,GB,100,10,Weighting,0.78,2e-05,0.2
german,GB,101,5,Exact,0.755,0.0,0.0988
german,GB,101,5,SISA,0.735,0.346579,0.1
german,GB,101,5,Weighting,0.755,7.7e-05,0.0988
german,GB,101,10,Exact,0.75,0.0,0.0
german,GB,101,10,SISA,0.74,0.348766,0.0
german,GB,101,10,Weighting,0.745,0.003045,0.0
german,GB,102,5,Exact,0.745,0.0,0.1
german,GB,102,5,SISA,0.745,0.256594,0.1
german,GB,102,5,Weighting,0.745,0.0,0.1
german,GB,102,10,Exact,0.755,0.0,0.1
german,GB,102,10,SISA,0.745,0.278797,0.1
german,GB,102,10,Weighting,0.755,5.9e-05,0.1
german,GB,103,5,Exact,0.75,0.0,0.3
german,GB,103,5,SISA,0.755,0.278601,0.3
german,GB,103,5,Weighting,0.75,0.000112,0.3
german,GB,103,10,Exact,0.745,0.0,0.3
german,GB,103,10,SISA,0.745,0.288302,0.2
german,GB,103,10,Weighting,0.745,0.004617,0.3
german,GB,104,5,Exact,0.74,0.0,0.1
german,GB,104,5,SISA,0.73,0.300307,0.1
german,GB,104,5,Weighting,0.74,0.000131,0.1
german,GB,104,10,Exact,0.745,0.0,0.1
german,GB,104,10,SISA,0.73,0.286049,0.2
german,GB,104,10,Weighting,0.745,0.0,0.1
german,GB,105,5,Exact,0.77,0.0,0.1
german,GB,105,5,SISA,0.765,0.275991,0.1
german,GB,105,5,Weighting,0.77,5.3e-05,0.1
german,GB,105,10,Exact,0.785,0.0,0.1
german,GB,105,10,SISA,0.765,0.277529,0.1
german,GB,105,10,Weighting,0.785,0.000729,0.1
german,GB,106,5,Exact,0.755,0.0,0.1
german,GB,106,5,SISA,0.715,0.295497,0.1
german,GB,106,5,Weighting,0.755,0.001505,0.1
german,GB,106,10,Exact,0.72,0.0,0.0
german,GB,106,10,SISA,0.715,0.28227,0.1
german,GB,106,10,Weighting,0.72,0.001112,0.0
german,GB,107,5,Exact,0.775,0.0,0.3
german,GB,107,5,SISA,0.745,0.251286,0.1
german,GB,107,5,Weighting,0.775,0.001408,0.3
german,GB,107,10,Exact,0.785,0.0,0.0
german,GB,107,10,SISA,0.755,0.259888,0.0
german,GB,107,10,Weighting,0.785,0.003523,0.0
german,GB,108,5,Exact,0.76,0.0,0.1
german,GB,108,5,SISA,0.745,0.296095,0.1
german,GB,108,5,Weighting,0.76,0.000124,0.1
german,GB,108,10,Exact,0.765,0.0,0.1
